Name,Description,Features,Deployment Types,Operating Systems,Mobile Application,Pricing,Top Competitors
Qlik Sense,,"Administration via Windows App; Administration via MacOS App; Administration via Web Interface; Live Connection to External Data; Snapshot of External Data; In-memory data model; OLAP (Pre-processed cube representation); ROLAP (SQL-layer querying); Multi-Data Source Reporting (Blending); Data warehouse / dictionary layer; ETL Capability; ETL Scheduler; MS Excel Workbooks; Text Files (CSV, etc); Oracle; MS SQL Server; IBM DB2; Postgres; MySQL; ODBC; Cloudera Hadoop; Hortonworks Hadoop; EMC Greenplum; IBM Netezza; HP Vertica; ParAccel; SAP Hana; Teradata; Sage 500; Salesforce; SAP; Google Analytics; Pixel Perfect reports; Customizable dashboards; Report Formatting Templates; Drill-down analysis; Formatting capabilities; Integration with R or other statistical packages; Report sharing and collaboration; Publish to Web; Publish to PDF; Output Raw Supporting Data; Report Versioning; Report Delivery Scheduling; Delivery to Remote Servers; Pre-built visualization formats (heatmaps, scatter plots etc.); Location Analytics / Geographic Visualization; Predictive Analytics; Support for Machine Learning models; Pattern Recognition and Data Mining; Multi-User Support (named login); Role-Based Security Model; Multiple Access Permission Levels (Create, Read, Delete); Report-Level Access Control; Table-Level Access Control (BI-layer); Field-Level Access Control (BI-layer); Single Sign-On (SSO); Responsive Design for Web Access; Mobile Application; Dashboard / Report / Visualization Interactivity on Mobile; REST API; Javascript API; iFrames; Java API; Themeable User Interface (UI); Customizable Platform (Open Source); In memory data indexing Associative Engine; Machine Learning with the Qlik Cognitive Engine; Augmented Intelligence and insight suggestions with Insight Advisor; Conversational Analytics with Qlik Insight Bot; Open APIs, in addition to Qlik Analytics Platform; Multi Cloud Architecture with docker containers deployed and orchestrated within Kubernetes; Data Catalog & Data Ops Management with Qlik Data Catalyst; Public and syndicated data as a service with Qlik Data Market; Qlik Associative Big Data Index delivers Qlik’s associative experience on top of Big Data; Flexible deployment options including Enterprise SaaS and combination of cloud and on-premise options; Enterprise reporting and distribution with Qlik NPrinting; Advanced geopolitical calculation and geotagging with Qlik Geo Analytics; Embedded analytic capabilities to build, extend and deploy custom solutions that are scalable and cloud-ready with Qlik Core","On-premise, Software as a Service (SaaS), Cloud, or Web-Based","Windows, Linux, Mac, Kubernetes","Apple iOS, Android, Windows Phone, Blackberry, Mobile Web",N/A,N/A
Oracle Machine LearningFormerly Oracle Advanced Analytics,N/A,N/A,N/A,Unspecified,No,N/A,N/A
Amazon ComprehendPricing,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gavagai,N/A,N/A,"On-premise, Software as a Service (SaaS), Cloud, or Web-Based","Windows, Linux, Mac",No,N/A,N/A
KNIME Analytics Platform,N/A,"Connect to Multiple Data Sources; Extend Existing Data Sources; Automatic Data Format Detection; Visualization; Interactive Data Analysis; Interactive Data Cleaning and Enrichment; Data Transformations; Multiple Model Development Languages and Tools; Automated Machine Learning; Single platform for multiple model development; Self-Service Model Delivery; Flexible Model Publishing Options; Security, Governance, and Cost Controls","On-premise, Software as a Service (SaaS), Cloud, or Web-Based","Windows, Linux, Mac",No,N/A,N/A
IBM watsonx.ai,"Watsonx.ai is an enterprise-ready next-generation AI studio for machine learning and generative AI, powered by foundation models. With the watsonx.ai studio, AI builders — including data scientists, application developers and business analysts can build, train, validate, tune and deploy traditional machine learning and new generative AI capabilities.  Watsonx.ai is designed to support collaboration and scalability in AI application development and can be deployed across hybrid environments.","Foundation Model Library with IBM and select open-source models from Hugging Face; Prompt Lab to experiment with foundation models and build prompts for various use cases and tasks; Tuning Studio to tune foundation models with labeled data; Data Science and MLOps tools to build machine learning models automatically with model training, development, visual modeling, and synthetic data generation","On-premise, Software as a Service (SaaS), Cloud, or Web-Based","Windows, Linux, Mac",No,IBM watsonx.ai starts at $0.,"Amazon SageMaker,Azure OpenAI Service, andVertex AIare common alternatives for IBM watsonx.ai."
Amazon Comprehend,N/A,N/A,"Software as a Service (SaaS), Cloud, or Web-Based",Unspecified,No,N/A,N/A
Saturn CloudPricing,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lightning AI,N/A,N/A,"Software as a Service (SaaS), Cloud, or Web-Based",Unspecified,No,N/A,N/A
DataRobot,DataRobot AI Platform extends the user's data science expertise with automation and aims to give unlimited flexibility for both data science experts and non-technical users to succeed with AI.,"Connect to Multiple Data Sources; Extend Existing Data Sources; Automatic Data Format Detection; MDM Integration; Visualization; Interactive Data Analysis; Interactive Data Cleaning and Enrichment; Data Transformations; Data Encryption; Built-in Processors; Multiple Model Development Languages and Tools; Automated Machine Learning; Single platform for multiple model development; Self-Service Model Delivery; Flexible Model Publishing Options; Security, Governance, and Cost Controls; Automated Time Series; Cloud-Hosted Notebooks; Data Preparation; Feature discovery; MLOps; No Code AI App Builder; AI Apps; Decision Flows; Bias Testing and Monitoring; Compliance Documentation and Prediction Explanations; Anomaly Detection; Data Prep Automation; Bringing together any type of data from any source; Demand Forecasting","On-premise, Software as a Service (SaaS), Cloud, or Web-Based","Windows, Linux, Mac",No,N/A,N/A
AI21 Jurassic,N/A,N/A,N/A,Unspecified,No,N/A,N/A
Deep Block,N/A,"Data Labelling; ML Algorithm Library (image segmentation, object detection...); Large file support (3 GB); Collaborative Workspace; Trained Model Export (COCO JSON); API Integration; Private GPU Cloud; Self-Hosting Support; Advanced Security; Access Provisioning; Workflow Customization","On-premise, Software as a Service (SaaS), Cloud, or Web-Based","Windows, Linux, Mac",No,N/A,N/A
Saturn Cloud,N/A,"Connect to Multiple Data Sources; Extend Existing Data Sources; Visualization; Interactive Data Analysis; Interactive Data Cleaning and Enrichment; Data Encryption; Multiple Model Development Languages and Tools; Automated Machine Learning; Single platform for multiple model development; Self-Service Model Delivery; Flexible Model Publishing Options; Security, Governance, and Cost Controls",N/A,Unspecified,No,N/A,N/A
DataRobot,DataRobot AI Platform extends the user's data science expertise with automation and aims to give unlimited flexibility for both data science experts and non-technical users to succeed with AI.,"Connect to Multiple Data Sources; Extend Existing Data Sources; Automatic Data Format Detection; MDM Integration; Visualization; Interactive Data Analysis; Interactive Data Cleaning and Enrichment; Data Transformations; Data Encryption; Built-in Processors; Multiple Model Development Languages and Tools; Automated Machine Learning; Single platform for multiple model development; Self-Service Model Delivery; Flexible Model Publishing Options; Security, Governance, and Cost Controls; Automated Time Series; Cloud-Hosted Notebooks; Data Preparation; Feature discovery; MLOps; No Code AI App Builder; AI Apps; Decision Flows; Bias Testing and Monitoring; Compliance Documentation and Prediction Explanations; Anomaly Detection; Data Prep Automation; Bringing together any type of data from any source; Demand Forecasting","On-premise, Software as a Service (SaaS), Cloud, or Web-Based","Windows, Linux, Mac",No,N/A,N/A
Quantum Boost,Quantum Boost is an advanced online platform that uses artificial intelligence to reach set targets through the fewest possible experiments.,"Faster than DoE: Quantum Boost uses AI algorithms to ensure targets are achieved in the fewest amount of experiments possible.; Flexible project development: Ability to update project definitions without losing all the knowledge gained so far.; User-friendliness: The platform is crafted to guide users through the complexities of experimental design, making it accessible for both beginners and seasoned experts.; Analytics: Offers immediate insights into experimental data to support better strategic decisions about products.; Quantum Bot: Discovers suitable replacements for ingredients or finds the perfect chemicals to use for specific applications. The Quantum Boost’s chatbot possesses knowledge of over 80,000+ materials.","Software as a Service (SaaS), Cloud, or Web-Based",Unspecified,No,N/A,N/A
Amazon Rekognition,N/A,"Content Moderation: Detects potentially unsafe, inappropriate, or unwanted content across images and videos.; Face compare and search: Determines the similarity of a face against another picture or from a private image repository.; Face detection analysis: Detects faces appearing in images and videos and recognize attributes such as open eyes, glasses, and facial hair for each.; Labels: Detects objects, scenes, activities, landmarks, dominant colors, and image quality.; Custom labels : Detects custom objects such as brand logos using automated machine learning (AutoML) to train models with as few as 10 images.; Text detection: Extracts skewed and distorted text from images and videos of street signs, social media posts, and product packaging.; Celebrity recognition: Identifies well-known people to catalog photos and footage for media, marketing, and advertising.; Video segment detection : Detects key segments in videos, such as black frames, start or end credits, slates, color bars, and shots.; Streaming Video Events detection: Detects objects such as packages, pets, or people in real-time from live video streams.; Identity verification: Pre-trained facial recognition and analysis capabilities that can be added to user onboarding and authentication workflows to verify opted-in users' identity online.","Software as a Service (SaaS), Cloud, or Web-Based",Unspecified,No,N/A,N/A
Quantum Boost,Quantum Boost is an advanced online platform that uses artificial intelligence to reach set targets through the fewest possible experiments.,"Faster than DoE: Quantum Boost uses AI algorithms to ensure targets are achieved in the fewest amount of experiments possible.; Flexible project development: Ability to update project definitions without losing all the knowledge gained so far.; User-friendliness: The platform is crafted to guide users through the complexities of experimental design, making it accessible for both beginners and seasoned experts.; Analytics: Offers immediate insights into experimental data to support better strategic decisions about products.; Quantum Bot: Discovers suitable replacements for ingredients or finds the perfect chemicals to use for specific applications. The Quantum Boost’s chatbot possesses knowledge of over 80,000+ materials.","Software as a Service (SaaS), Cloud, or Web-Based",Unspecified,No,N/A,N/A
Amazon Rekognition,N/A,"Content Moderation: Detects potentially unsafe, inappropriate, or unwanted content across images and videos.; Face compare and search: Determines the similarity of a face against another picture or from a private image repository.; Face detection analysis: Detects faces appearing in images and videos and recognize attributes such as open eyes, glasses, and facial hair for each.; Labels: Detects objects, scenes, activities, landmarks, dominant colors, and image quality.; Custom labels : Detects custom objects such as brand logos using automated machine learning (AutoML) to train models with as few as 10 images.; Text detection: Extracts skewed and distorted text from images and videos of street signs, social media posts, and product packaging.; Celebrity recognition: Identifies well-known people to catalog photos and footage for media, marketing, and advertising.; Video segment detection : Detects key segments in videos, such as black frames, start or end credits, slates, color bars, and shots.; Streaming Video Events detection: Detects objects such as packages, pets, or people in real-time from live video streams.; Identity verification: Pre-trained facial recognition and analysis capabilities that can be added to user onboarding and authentication workflows to verify opted-in users' identity online.","Software as a Service (SaaS), Cloud, or Web-Based",Unspecified,No,N/A,N/A
G2M PlatformFormerlyAnalyzrPricing,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IBM watsonx.aiPricing,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PositFormerly RStudio,"Posit, formerly RStudio, provides a modular data science platform that combines open-source and commercial products.","Connect to Multiple Data Sources; Extend Existing Data Sources; Automatic Data Format Detection; Visualization; Interactive Data Analysis; Interactive Data Cleaning and Enrichment; Data Transformations; Multiple Model Development Languages and Tools; Single platform for multiple model development; Self-Service Model Delivery; Flexible Model Publishing Options; Security, Governance, and Cost Controls; Share Data Science insights in the form of Shiny applications, Quarto content, R Markdown reports, Plumber APIs, dashboards, Jupyter Notebooks, and interactive Python content.","On-premise, Software as a Service (SaaS), Cloud, or Web-Based","Windows, Linux, Mac",No,N/A,N/A
G2M PlatformFormerlyAnalyzr,N/A,N/A,"Software as a Service (SaaS), Cloud, or Web-Based",Unspecified,No,N/A,N/A
Resemble AI,N/A,N/A,N/A,Unspecified,No,N/A,N/A
IBM SPSS Modeler,"IBM SPSS Modeler is a visual data science and machine learning (ML) solution designed to help enterprises accelerate time to value by speeding up operational tasks for data scientists. Organizations can use it for data preparation and discovery, predictive analytics, model management and deployment, and ML to monetize data assets.",Visual analysis streams; Broad range of advanced analytical techniques; Automatic data preparation,On-premise,"Windows, Linux, Mac, AIX",No,N/A,N/A
Lightning AI,N/A,N/A,"Software as a Service (SaaS), Cloud, or Web-Based",Unspecified,No,N/A,N/A
IBM watsonx.ai,"Watsonx.ai is an enterprise-ready next-generation AI studio for machine learning and generative AI, powered by foundation models. With the watsonx.ai studio, AI builders — including data scientists, application developers and business analysts can build, train, validate, tune and deploy traditional machine learning and new generative AI capabilities.  Watsonx.ai is designed to support collaboration and scalability in AI application development and can be deployed across hybrid environments.","Foundation Model Library with IBM and select open-source models from Hugging Face; Prompt Lab to experiment with foundation models and build prompts for various use cases and tasks; Tuning Studio to tune foundation models with labeled data; Data Science and MLOps tools to build machine learning models automatically with model training, development, visual modeling, and synthetic data generation","On-premise, Software as a Service (SaaS), Cloud, or Web-Based","Windows, Linux, Mac",No,IBM watsonx.ai starts at $0.,"Amazon SageMaker,Azure OpenAI Service, andVertex AIare common alternatives for IBM watsonx.ai."
KNIME Analytics Platform,N/A,"Connect to Multiple Data Sources; Extend Existing Data Sources; Automatic Data Format Detection; Visualization; Interactive Data Analysis; Interactive Data Cleaning and Enrichment; Data Transformations; Multiple Model Development Languages and Tools; Automated Machine Learning; Single platform for multiple model development; Self-Service Model Delivery; Flexible Model Publishing Options; Security, Governance, and Cost Controls","On-premise, Software as a Service (SaaS), Cloud, or Web-Based","Windows, Linux, Mac",No,N/A,N/A
Amazon RekognitionPricing,N/A,N/A,N/A,N/A,N/A,N/A,N/A
