What is the name of this AI/ML software platform?,What are the features of this platform?,What are the key differentiators of this platform?,Which client industries are using this platform?,What is the pricing information for this platform?,What are the deployment options for this platform?,What are the customer reviews and ratings of this platform?,TrustRadius Rating,G2 Rating
SiMa.ai,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Flex Logic  InferX X1,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Xain,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Sancare,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Paradise,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Deepen,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
DVC,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Infinia ML,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
healthcare.ai,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Algorithmia,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Mitakus,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Intento,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
MLOps,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
RTE Runner,(not found),(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
CitiusTech Medictiv,"Medictive machine learning and predictive analytics engine for health systems, payers, ACOs, life science entities",(not found),"health systems, payers, ACOs, life science entities",(not found),(not found),0 reviews,0 reviews,N/A
BenevolentAI,(not found),(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
craft ai,(not found),(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
Stratyfy,(not found),(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
Figure Eight Platform,"""human-in-the-loop"" machine learning platform supporting audio and natural language processing and analysis, image and computer vision, data enrichment and search relevance",(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
SagivTech,(not found),(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
Accomplice,(not found),(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
JADBio,(not found),(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
Sahha,(not found),(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
Viubox SYZ,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Faculty Frontier,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Analyze,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Monolith,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Encord,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
DataRobot AI Platform,"Tools for data preparation, automating machine learning, deploying, monitoring, managing, and governing AI models, and generating time series models.","Centrally governed, flexible for both technical and non-technical users.",(not found),"Free for basic use, custom pricing for enterprise features.","On user's cloud platform-of-choice, on-premise, or as a fully-managed service.",(not found),(not found),N/A
NEC RAPID,NEC offers the RAPID AI machine learning application designed to perform surface or spatial inspections or other pattern-detection or defect detection related tasks.,(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
muHPC,built over Spark and Hadoop to perform or improve big data analytics,(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
B-Yond AGILITY,(not found),(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
IBM i2 Analyze,promises to help organizations turn vast amounts of disparate data into insights,(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
mAdvisor,"cognitive computing application relying on machine learning and natural language processing to provide text and speech analytics, computer vision, and automated prediction",(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
IBM Db2 Analytics Accelerator,"boosts software query performance, helps manage structured and unstructured data, and prepare data for analysis",(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
Caffe2,lightweight deep learning framework from Facebook Open Source,(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
CognitiveScale Cortex 5,platform for developing and deploying enterprise-grade artificial intelligence (AI) and AI lifecycle management,"variety of purposes such as risk calculation for banking, insurance or healthcare",(not found),(not found),(not found),0 reviews,0 reviews,N/A
Apache Spark MLib,scalable machine learning library,(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
omniX Labs,provides vehicle service analytics,(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
Shaip,"functionality to help users create, transform and annotate data for challenging AI models or ML needs",(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
NeoML,"end-to-end machine learning framework that allows the user to build, train, and deploy machine learning models",used by ABBYY engineers for computer vision and natural language tasks,"document layout analysis, OCR",(not found),(not found),0 reviews,0 reviews,N/A
CatBoost,high-performance open source library for gradient boosting on decision trees,developed at Yandex,(not found),(not found),(not found),0 reviews,0 reviews,N/A
Robust Intelligence,(not found),(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
Wipro HOLMES,bridges Foundational AI algorithm builders and Applied AI,"designed to handle needs from building, publishing, metering, governance to monetization of heterogenous AI solutions",(not found),(not found),(not found),0 reviews,0 reviews,N/A
Snorkel,system for programmatically building and managing training datasets,develop training datasets rather than hand-labeling them,(not found),(not found),(not found),0 reviews,0 reviews,N/A
Alteryx Machine Learning,automated insight generation to uncover hidden signals and key relationships in data,turn these machine learning predictions into business decisions and actions,(not found),(not found),(not found),0 reviews,0 reviews,N/A
MosaicML,fully managed infrastructure and software tools that enable users to train and deploy large-scale machine learning models,optimize every layer of the model development process,(not found),(not found),(not found),0 reviews,0 reviews,N/A
IBM OpenScale,"AI lifecycle management, deployment operation, performance improvement",Supports operation and improvement of AI deployment,(not found),(not found),"Cloud, on-premise",(not found),(not found),N/A
Intel Artificial Intelligence (AI) and Deep Learning Solutions (Intel Nervana),"The Intel Deep Learning Cloud, or Intel Nervana, is a deep learning framework based on Nervana Systems' Nervana Cloud AI framework, with industry leading performance on GPUs thanks to its custom assembly kernels and optimized algorithms.",(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
Ray.io,"Ray is an open-source unified compute framework used to scale AI and Python workloads â€” from reinforcement learning to deep learning to tuning, and model serving. Ray boasts a rich set of libraries and integrations.",(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
Imandra,"Imandra, in Austin, aims to revolutionize algorithm design, regulation, transparency and governance by democratizing automated reasoning. They describe their eponymous software Imandra as a cloud-native automated reasoning engine for analysis of algorithms used to bring rigor andâ€¦",(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
JAX,Autograd and XLA for high-performance machine learning research,Automatically differentiate native Python and NumPy functions,(not found),Free and open source under Apache 2.0 license,(not found),0 reviews,0 reviews,N/A
Apache MXNet,Supports mixed symbolic and imperative programming,Dynamic dependency scheduler for parallel processing,(not found),Free and open-source,(not found),0 reviews,0 reviews,N/A
Label Your Data,Data annotation services for computer vision and NLP,Prioritizes security and quality,(not found),(not found),(not found),0 reviews,0 reviews,N/A
Amazon Augmented AI (Amazon A2I),Facilitates human and ML model collaboration,Guides human reviewers in workflows,(not found),(not found),(not found),0 reviews,0 reviews,N/A
AltaML,AI-powered solutions development,Helps organizations leverage data with AI,(not found),(not found),(not found),0 reviews,0 reviews,N/A
Arundo DataSeer,Extracts information from schematics for analytics,"Focused on oil & gas, utilities, and equipment manufacturers","Oil & gas, utilities, refining & chemicals",(not found),(not found),0 reviews,0 reviews,N/A
Explorium,External Data Platform for discovering data signals,Automates data discovery for improved analytics,(not found),(not found),(not found),1 review,1 review,N/A
Incedo Lighthouse,AI powered decision automation,Optimizes the journey of data to insights to actions,(not found),(not found),Cloud native,0 reviews,0 reviews,N/A
KarmaV,MLOps tool for deploying AI models,Helps users deploy AI models overnight,(not found),Has pricing,(not found),0 reviews,0 reviews,N/A
Konan,MLOps tool,Deploys AI models into production quickly,(not found),(not found),(not found),0 reviews,0 reviews,N/A
Chooch AI Vision,Build and run Computer Vision AI applications.,Full lifecycle computer vision solution.,(not found),(not found),(not found),0 reviews,0 reviews,N/A
Union Cloud powered by Flyte,Workflow automation tool for machine learning applications.,Typesafe directed graphs of independent tasks.,(not found),(not found),(not found),0 reviews,0 reviews,N/A
FortisAI,(not found),(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
Activeloop,Fast and simple framework for building data pipelines.,Scaling data pipelines for machine learning.,(not found),(not found),(not found),0 reviews,0 reviews,N/A
Magic FinServ,Digital technology services company for FinTech industry.,Combination of financial services domain knowledge & technology skills in Blockchain & AI.,FinTech,(not found),(not found),0 reviews,0 reviews,N/A
RapidCanvas,RapidCanvas provides an enterprise-grade no-code platform for data practitioners to go from raw data to ML applications rapidly. RapidCanvas taps into full-cycle autoML and a network of domain experts to deliver results.,(not found),(not found),(not found),(not found),3 reviews,3 reviews,N/A
ZAIDYN,"ZAIDYN is a cloud-native platform created by ZS for fluency in the full spectrum of life sciences, with applications to drive patient and customer engagement. From R&D to commercialization, the platform's analytics, algorithms and workflows help teams make data-driven decisions.",(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
HPE Ezmeral Machine Learning Ops,"HPE Ezmeral Machine Learning Ops is presented by the vendor as a solution that brings DevOps-like agility to the entire machine learning lifecycle. The HPE Ezmeral ML Ops solution supports every stage of ML lifecycleâ€”data preparation, model build, model training, model deployment.",(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
NimbleBox.ai,Full-stack MLOps platform for data scientists and machine learning practitioners,"Purpose-built for large datasets, supports all major ML frameworks",(not found),(not found),(not found),0 reviews,0 reviews,N/A
ModelOp Center,"Automates governance, management, and monitoring of AI/ML models","Supports reliable, compliant, and scalable AI initiatives",(not found),(not found),(not found),0 reviews,0 reviews,N/A
Ment by Epistema,AI-driven BI tool that integrates with collaboration apps,(not found),(not found),Free trial,(not found),0 reviews,0 reviews,N/A
Willow.ai,Human-Aware AI for creating behavior-changing experiences,(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
Salford Predictive Modeler,Predictive analytics and data mining platform,"Data mining technologies include classification, regression, etc.",(not found),(not found),(not found),0 reviews,0 reviews,N/A
IBM Machine Learning for z/OS,Integrates AI with transactional applications,Real-time insights with minimal impact to SLAs,(not found),(not found),(not found),2 reviews,2 reviews,N/A
PrecisionOCR,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Carbon by Sanctuary AI,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Cloudera Data Platform,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Flyte,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Clarify Health,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Voxel51 FiftyOne,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Superb AI Inc.,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
MindTitan,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Eigen,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
expert.ai NL Suite,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Bark,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Kinetica,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Credo AI,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Google Assistant,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
United Language Group Octave,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Maple Flow,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
H2O.ai,"Open-source platform, autoML capabilities, supports various algorithms.",Fast and scalable machine learning with a focus on ease of use.,"Healthcare, finance, insurance.",Open-source; enterprise pricing available.,"Cloud, on-premises.",(not found),(not found),N/A
KNIME,Visual programming and extensive integration capabilities.,Ease of use with a focus on data science workflows.,"Finance, Healthcare, Retail.",Free community edition; paid enterprise options available.,On-premises and cloud.,Highly rated for collaborative features and accessibility.,Highly rated for collaborative features and accessibility.,N/A
DataEdge,"Cloud-based Data Analytics and AI Engineering platform, modular, scalable, API-driven solutions, no-code platform","Configured to HITRUST standards, can be deployed in hours without development time",(not found),(not found),"Cloud-based, no-code",0 reviews,0 reviews,N/A
Laser AI,AI-powered data extraction and screening for systematic reviews,"Developed by Evidence Prime, originating from Professors and Alumni of McMaster University",(not found),(not found),(not found),0 reviews,0 reviews,N/A
Decanter AI,(not found),(not found),(not found),(not found),(not found),0 reviews,0 reviews,N/A
Apache MXNet on AWS,"Fast and scalable training and inference framework, easy-to-use API for machine learning",Fully-managed experience using Amazon SageMaker,(not found),(not found),AWS,0 reviews,0 reviews,N/A
Wolters Kluwer Health Language,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Prime AI,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Aitomatic K1st Suite,Knowledge-First App Engine for Industrial AI helps companies translate domain expertise and automate on a SaaS platform.,(not found),(not found),(not found),(not found),(not found),(not found),N/A
Picovoice Voice AI Platform,Developer-first voice AI platform aiming to accelerate voice AI adoption with on-device processing and open-source benchmarks.,(not found),(not found),(not found),(not found),(not found),(not found),N/A
MealMe,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Aito.ai,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Entrap,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Mercio,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Cheat Layer,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
MAGELLAN BLOCKS,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Caffe Deep Learning Framework,"Deep learning framework made with expression, speed, and modularity in mind.",(not found),(not found),(not found),(not found),1 review,1 review,N/A
IBM Watson Visual Recognition (discontinued),Machine learning application designed to tag and classify image data.,(not found),(not found),(not found),(not found),2 reviews,2 reviews,N/A
IBM API Connect,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
IBM Cloud for VMware Solutions,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
IBM Cloud Pak for Business Automation,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
IBM Storage FlashSystem,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
IBM Maximo Application Suite,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
IBM Planning Analytics,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
IBM Power Servers,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
IBM Security MaaS360,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
IBM Security QRadar SIEM,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
IBM Security QRadar EDR,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
IBM Verify,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
IBM Turbonomic,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
IBM Watson Assistant,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
IBM Z,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
"Instana, an IBM company",(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Red Hat OpenShift on IBM Cloud,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
IBM Storage Fusion,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
Db2,(not found),(not found),(not found),(not found),(not found),(not found),(not found),N/A
