What is the name of this AI/ML software platform?,What are the features of this platform?,What are the key differentiators of this platform?,Which client industries are using this platform?,What is the pricing information for this platform?,What are the deployment options for this platform?,What are the customer reviews and ratings of this platform?
Snorkel,system for programmatically building and managing training datasets,develop training datasets rather than hand-labeling them,(not found),(not found),(not found),0 reviews
Alteryx Machine Learning,automated insight generation to uncover hidden signals and key relationships in data,turn these machine learning predictions into business decisions and actions,(not found),(not found),(not found),0 reviews
MosaicML,fully managed infrastructure and software tools that enable users to train and deploy large-scale machine learning models,optimize every layer of the model development process,(not found),(not found),(not found),0 reviews
IBM OpenScale,"AI lifecycle management, deployment operation, performance improvement",Supports operation and improvement of AI deployment,(not found),(not found),"Cloud, on-premise",(not found)
Intel Artificial Intelligence (AI) and Deep Learning Solutions (Intel Nervana),"The Intel Deep Learning Cloud, or Intel Nervana, is a deep learning framework based on Nervana Systems' Nervana Cloud AI framework, with industry leading performance on GPUs thanks to its custom assembly kernels and optimized algorithms.",(not found),(not found),(not found),(not found),0 reviews
Ray.io,"Ray is an open-source unified compute framework used to scale AI and Python workloads â€” from reinforcement learning to deep learning to tuning, and model serving. Ray boasts a rich set of libraries and integrations.",(not found),(not found),(not found),(not found),0 reviews
Imandra,"Imandra, in Austin, aims to revolutionize algorithm design, regulation, transparency and governance by democratizing automated reasoning. They describe their eponymous software Imandra as a cloud-native automated reasoning engine for analysis of algorithms used to bring rigor andâ€¦",(not found),(not found),(not found),(not found),0 reviews
JAX,Autograd and XLA for high-performance machine learning research,Automatically differentiate native Python and NumPy functions,(not found),Free and open source under Apache 2.0 license,(not found),0 reviews
Apache MXNet,Supports mixed symbolic and imperative programming,Dynamic dependency scheduler for parallel processing,(not found),Free and open-source,(not found),0 reviews
Label Your Data,Data annotation services for computer vision and NLP,Prioritizes security and quality,(not found),(not found),(not found),0 reviews
Amazon Augmented AI (Amazon A2I),Facilitates human and ML model collaboration,Guides human reviewers in workflows,(not found),(not found),(not found),0 reviews
AltaML,AI-powered solutions development,Helps organizations leverage data with AI,(not found),(not found),(not found),0 reviews
Arundo DataSeer,Extracts information from schematics for analytics,"Focused on oil & gas, utilities, and equipment manufacturers","Oil & gas, utilities, refining & chemicals",(not found),(not found),0 reviews
Explorium,External Data Platform for discovering data signals,Automates data discovery for improved analytics,(not found),(not found),(not found),1 review
Incedo Lighthouse,AI powered decision automation,Optimizes the journey of data to insights to actions,(not found),(not found),Cloud native,0 reviews
KarmaV,MLOps tool for deploying AI models,Helps users deploy AI models overnight,(not found),Has pricing,(not found),0 reviews
Konan,MLOps tool,Deploys AI models into production quickly,(not found),(not found),(not found),0 reviews
Chooch AI Vision,Build and run Computer Vision AI applications.,Full lifecycle computer vision solution.,(not found),(not found),(not found),0 reviews
Union Cloud powered by Flyte,Workflow automation tool for machine learning applications.,Typesafe directed graphs of independent tasks.,(not found),(not found),(not found),0 reviews
FortisAI,(not found),(not found),(not found),(not found),(not found),0 reviews
Activeloop,Fast and simple framework for building data pipelines.,Scaling data pipelines for machine learning.,(not found),(not found),(not found),0 reviews
Magic FinServ,Digital technology services company for FinTech industry.,Combination of financial services domain knowledge & technology skills in Blockchain & AI.,FinTech,(not found),(not found),0 reviews
RapidCanvas,RapidCanvas provides an enterprise-grade no-code platform for data practitioners to go from raw data to ML applications rapidly. RapidCanvas taps into full-cycle autoML and a network of domain experts to deliver results.,(not found),(not found),(not found),(not found),3 reviews
ZAIDYN,"ZAIDYN is a cloud-native platform created by ZS for fluency in the full spectrum of life sciences, with applications to drive patient and customer engagement. From R&D to commercialization, the platform's analytics, algorithms and workflows help teams make data-driven decisions.",(not found),(not found),(not found),(not found),0 reviews
HPE Ezmeral Machine Learning Ops,"HPE Ezmeral Machine Learning Ops is presented by the vendor as a solution that brings DevOps-like agility to the entire machine learning lifecycle. The HPE Ezmeral ML Ops solution supports every stage of ML lifecycleâ€”data preparation, model build, model training, model deployment.",(not found),(not found),(not found),(not found),0 reviews
NimbleBox.ai,Full-stack MLOps platform for data scientists and machine learning practitioners,"Purpose-built for large datasets, supports all major ML frameworks",(not found),(not found),(not found),0 reviews
ModelOp Center,"Automates governance, management, and monitoring of AI/ML models","Supports reliable, compliant, and scalable AI initiatives",(not found),(not found),(not found),0 reviews
Ment by Epistema,AI-driven BI tool that integrates with collaboration apps,(not found),(not found),Free trial,(not found),0 reviews
Willow.ai,Human-Aware AI for creating behavior-changing experiences,(not found),(not found),(not found),(not found),0 reviews
Salford Predictive Modeler,Predictive analytics and data mining platform,"Data mining technologies include classification, regression, etc.",(not found),(not found),(not found),0 reviews
IBM Machine Learning for z/OS,Integrates AI with transactional applications,Real-time insights with minimal impact to SLAs,(not found),(not found),(not found),2 reviews
PrecisionOCR,(not found),(not found),(not found),(not found),(not found),(not found)
Carbon by Sanctuary AI,(not found),(not found),(not found),(not found),(not found),(not found)
Cloudera Data Platform,(not found),(not found),(not found),(not found),(not found),(not found)
Flyte,(not found),(not found),(not found),(not found),(not found),(not found)
Clarify Health,(not found),(not found),(not found),(not found),(not found),(not found)
Voxel51 FiftyOne,(not found),(not found),(not found),(not found),(not found),(not found)
Superb AI Inc.,(not found),(not found),(not found),(not found),(not found),(not found)
MindTitan,(not found),(not found),(not found),(not found),(not found),(not found)
Eigen,(not found),(not found),(not found),(not found),(not found),(not found)
expert.ai NL Suite,(not found),(not found),(not found),(not found),(not found),(not found)
Bark,(not found),(not found),(not found),(not found),(not found),(not found)
Kinetica,(not found),(not found),(not found),(not found),(not found),(not found)
Credo AI,(not found),(not found),(not found),(not found),(not found),(not found)
Google Assistant,(not found),(not found),(not found),(not found),(not found),(not found)
United Language Group Octave,(not found),(not found),(not found),(not found),(not found),(not found)
Maple Flow,(not found),(not found),(not found),(not found),(not found),(not found)
H2O.ai,"Open-source platform, autoML capabilities, supports various algorithms.",Fast and scalable machine learning with a focus on ease of use.,"Healthcare, finance, insurance.",Open-source; enterprise pricing available.,"Cloud, on-premises.",(not found)
KNIME,Visual programming and extensive integration capabilities.,Ease of use with a focus on data science workflows.,"Finance, Healthcare, Retail.",Free community edition; paid enterprise options available.,On-premises and cloud.,Highly rated for collaborative features and accessibility.
DataEdge,"Cloud-based Data Analytics and AI Engineering platform, modular, scalable, API-driven solutions, no-code platform","Configured to HITRUST standards, can be deployed in hours without development time",(not found),(not found),"Cloud-based, no-code",0 reviews
Laser AI,AI-powered data extraction and screening for systematic reviews,"Developed by Evidence Prime, originating from Professors and Alumni of McMaster University",(not found),(not found),(not found),0 reviews
Decanter AI,(not found),(not found),(not found),(not found),(not found),0 reviews
Apache MXNet on AWS,"Fast and scalable training and inference framework, easy-to-use API for machine learning",Fully-managed experience using Amazon SageMaker,(not found),(not found),AWS,0 reviews
Wolters Kluwer Health Language,(not found),(not found),(not found),(not found),(not found),(not found)
Prime AI,(not found),(not found),(not found),(not found),(not found),(not found)
Aitomatic K1st Suite,Knowledge-First App Engine for Industrial AI helps companies translate domain expertise and automate on a SaaS platform.,(not found),(not found),(not found),(not found),(not found)
Picovoice Voice AI Platform,Developer-first voice AI platform aiming to accelerate voice AI adoption with on-device processing and open-source benchmarks.,(not found),(not found),(not found),(not found),(not found)
MealMe,(not found),(not found),(not found),(not found),(not found),(not found)
Aito.ai,(not found),(not found),(not found),(not found),(not found),(not found)
Entrap,(not found),(not found),(not found),(not found),(not found),(not found)
Mercio,(not found),(not found),(not found),(not found),(not found),(not found)
Cheat Layer,(not found),(not found),(not found),(not found),(not found),(not found)
MAGELLAN BLOCKS,(not found),(not found),(not found),(not found),(not found),(not found)
Caffe Deep Learning Framework,"Deep learning framework made with expression, speed, and modularity in mind.",(not found),(not found),(not found),(not found),1 review
IBM Watson Visual Recognition (discontinued),Machine learning application designed to tag and classify image data.,(not found),(not found),(not found),(not found),2 reviews
IBM API Connect,(not found),(not found),(not found),(not found),(not found),(not found)
IBM Cloud for VMware Solutions,(not found),(not found),(not found),(not found),(not found),(not found)
IBM Cloud Pak for Business Automation,(not found),(not found),(not found),(not found),(not found),(not found)
IBM Storage FlashSystem,(not found),(not found),(not found),(not found),(not found),(not found)
IBM Maximo Application Suite,(not found),(not found),(not found),(not found),(not found),(not found)
IBM Planning Analytics,(not found),(not found),(not found),(not found),(not found),(not found)
IBM Power Servers,(not found),(not found),(not found),(not found),(not found),(not found)
IBM Security MaaS360,(not found),(not found),(not found),(not found),(not found),(not found)
IBM Security QRadar SIEM,(not found),(not found),(not found),(not found),(not found),(not found)
IBM Security QRadar EDR,(not found),(not found),(not found),(not found),(not found),(not found)
IBM Verify,(not found),(not found),(not found),(not found),(not found),(not found)
IBM Turbonomic,(not found),(not found),(not found),(not found),(not found),(not found)
IBM Watson Assistant,(not found),(not found),(not found),(not found),(not found),(not found)
IBM Z,(not found),(not found),(not found),(not found),(not found),(not found)
"Instana, an IBM company",(not found),(not found),(not found),(not found),(not found),(not found)
Red Hat OpenShift on IBM Cloud,(not found),(not found),(not found),(not found),(not found),(not found)
IBM Storage Fusion,(not found),(not found),(not found),(not found),(not found),(not found)
Db2,(not found),(not found),(not found),(not found),(not found),(not found)
